ID_Telefon,numero,tipus
1080,123-200-2075,Mobile
1081,140-257-7211,Landline
1082,847-746-7059,Mobile
1083,922-544-5928,Landline
1084,387-228-3462,Mobile
1085,963-489-3308,Landline
1086,772-858-4133,Mobile
1087,479-150-7682,Landline
1088,952-619-4152,Mobile
1089,671-124-0259,Landline
1090,320-213-7374,Mobile
1091,396-545-7625,Landline
1092,560-386-8771,Mobile
1093,159-214-3289,Landline
1094,364-428-4493,Mobile
1095,483-809-8955,Landline
1096,286-655-0970,Mobile
1097,849-868-3904,Landline
1098,211-820-7824,Mobile
1099,755-266-7029,Landline
1100,189-830-3461,Mobile
1101,456-219-0230,Landline
1102,796-535-6672,Mobile
1103,554-677-4860,Landline
1104,829-308-9728,Mobile
1105,151-295-7930,Landline
1106,376-734-8023,Mobile
1107,241-672-5176,Landline
1108,858-407-1300,Mobile
1109,823-451-2540,Landline
1110,874-258-6596,Mobile
1111,558-744-3359,Landline
1112,811-753-2862,Mobile
1113,502-222-1983,Landline
1114,826-974-9201,Mobile
1115,892-994-2785,Landline
1116,201-147-8238,Mobile
1117,522-512-2222,Landline
1118,739-225-0894,Mobile
1119,936-615-3305,Landline
1120,712-550-9999,Mobile
1121,739-680-3709,Landline
1122,888-568-5218,Mobile
1123,968-289-7950,Landline
1124,313-853-1038,Mobile
1125,359-745-7467,Landline
1126,457-224-2261,Mobile
1127,785-296-6705,Landline
1128,740-221-1623,Mobile
1129,765-452-6892,Landline
1130,247-234-0136,Mobile
1131,386-967-8619,Landline
1132,813-410-1871,Mobile
1133,822-259-0006,Landline
1134,292-607-6508,Mobile
1135,794-102-9759,Landline
1136,464-936-7087,Mobile
1137,928-486-9561,Landline
1138,698-412-7192,Mobile
1139,657-839-1259,Landline
1140,705-830-6824,Mobile
1141,276-493-5679,Landline
1142,536-450-0169,Mobile
1143,833-362-9494,Landline
1144,604-142-8433,Mobile
1145,381-474-2512,Landline
1146,892-644-0677,Mobile
1147,134-739-7312,Landline
1148,361-747-6608,Mobile
1149,601-546-0251,Landline
1150,992-677-9265,Mobile
1151,857-579-5469,Landline
1152,993-967-4042,Mobile
1153,887-535-7283,Landline
1154,422-597-7503,Mobile
1155,894-720-6434,Landline
1156,172-195-9997,Mobile
1157,324-633-7972,Landline
1158,165-676-4367,Mobile
1159,430-829-9702,Landline
1160,742-326-7016,Mobile
1161,366-219-9482,Landline
1162,126-594-6600,Mobile
1163,920-776-4642,Landline
1164,214-972-9131,Mobile
1165,971-436-0043,Landline
1166,593-560-9236,Mobile
1167,130-779-1733,Landline
1168,312-670-4466,Mobile
1169,934-334-5953,Landline
1170,803-201-9574,Mobile
1171,178-458-5770,Landline
1172,751-315-1044,Mobile
1173,458-878-9222,Landline
1174,999-215-4622,Mobile
1175,897-306-9162,Landline
1176,996-801-1873,Mobile
1177,286-373-2986,Landline
1178,991-496-7747,Mobile
1179,134-938-7735,Landline
1180,236-965-8993,Mobile
1181,410-281-8198,Landline
1182,291-879-2482,Mobile
1183,766-469-3044,Landline
1184,115-119-9217,Mobile
1185,199-958-9156,Landline
1186,199-603-6208,Mobile
1187,110-128-0419,Landline
1188,202-993-1469,Mobile
1189,770-224-0688,Landline
1190,607-906-9248,Mobile
1191,369-714-2785,Landline
1192,824-665-6482,Mobile
1193,607-446-9125,Landline
1194,234-171-1271,Mobile
1195,631-437-4494,Landline
1196,928-543-6546,Mobile
1197,541-672-3010,Landline
1198,684-796-3751,Mobile
1199,290-306-8224,Landline
1200,316-912-3196,Mobile
1201,886-579-0765,Landline
1202,571-359-9139,Mobile
1203,519-120-4399,Landline
1204,390-612-4919,Mobile
1205,264-397-0131,Landline
1206,619-653-4225,Mobile
1207,771-397-7560,Landline
1208,247-362-2804,Mobile
1209,562-876-6495,Landline
1210,194-459-5487,Mobile
1211,462-475-5657,Landline
1212,663-278-3402,Mobile
1213,251-770-3872,Landline
1214,897-765-4767,Mobile
1215,314-893-4125,Landline
1216,576-211-6339,Mobile
1217,660-785-7356,Landline
1218,324-739-6045,Mobile
1219,165-411-5754,Landline
1220,790-128-7484,Mobile
1221,392-777-4109,Landline
1222,252-536-1905,Mobile
1223,267-145-5507,Landline
1224,608-296-6348,Mobile
1225,193-275-6971,Landline
1226,292-166-1552,Mobile
1227,882-362-0435,Landline
1228,506-331-6801,Mobile
1229,931-907-0272,Landline
1230,700-462-8713,Mobile
1231,924-549-4627,Landline
1232,304-150-7655,Mobile
1233,177-629-0753,Landline
1234,229-794-8948,Mobile
1235,120-839-7215,Landline
1236,590-769-4154,Mobile
1237,467-320-7891,Landline
1238,732-751-9444,Mobile
1239,434-678-7734,Landline
1240,742-254-4466,Mobile
1241,985-258-5891,Landline
1242,354-227-0014,Mobile
1243,342-835-1002,Landline
1244,197-594-4639,Mobile
1245,575-915-1633,Landline
1246,281-123-5498,Mobile
1247,918-299-7390,Landline
1248,859-466-6885,Mobile
1249,845-935-4387,Landline
1250,948-725-9935,Mobile
1251,106-352-2969,Landline
1252,248-838-4820,Mobile
1253,759-746-5255,Landline
1254,356-172-0078,Mobile
1255,874-214-2988,Landline
1256,381-354-9792,Mobile
1257,474-356-7489,Landline
1258,407-975-1345,Mobile
1259,521-685-5465,Landline
1260,855-648-9215,Mobile
1261,854-594-2260,Landline
1262,417-674-6348,Mobile
1263,105-683-4948,Landline
1264,348-313-5029,Mobile
1265,123-376-0917,Landline
1266,920-288-7597,Mobile
1267,593-163-9128,Landline
1268,510-980-2171,Mobile
1269,318-615-8114,Landline
1270,292-284-4241,Mobile
1271,666-903-1653,Landline
1272,553-713-3101,Mobile
1273,355-780-5809,Landline
1274,242-595-1810,Mobile
1275,101-122-6318,Landline
1276,299-698-4203,Mobile
1277,313-743-7117,Landline
1278,722-567-0188,Mobile
1279,397-238-7098,Landline
1280,407-452-7008,Mobile
1281,556-224-7534,Landline
1282,470-156-6312,Mobile
1283,818-289-2263,Landline
1284,387-402-6815,Mobile
1285,321-463-6720,Landline
1286,727-102-1701,Mobile
1287,151-276-8878,Landline
1288,904-964-8524,Mobile
1289,401-165-5391,Landline
1290,483-503-6491,Mobile
1291,282-392-5239,Landline
1292,441-545-4782,Mobile
1293,453-886-6562,Landline
1294,663-605-1226,Mobile
1295,169-203-1558,Landline
1296,391-257-7164,Mobile
1297,494-801-2783,Landline
1298,296-683-1032,Mobile
1299,598-130-2623,Landline
1300,655-159-6273,Mobile
