numero_targeta,ID_Client,ID_Botiga,data_compra
,568,22,
,569,19,
,570,64,
,571,48,
,572,14,
,573,30,
,574,27,
,575,23,
,576,88,
,577,72,
,578,65,
,579,19,
,580,43,
,581,72,
,582,4,
,583,88,
,584,40,
,585,17,
,586,83,
,587,25,
,588,17,
,589,100,
,590,80,
,591,12,
,592,16,
,593,42,
,594,49,
,595,64,
2056,596,48,2020-07-15
,597,67,
,598,63,
,599,86,
,600,19,
,601,7,
,602,63,
,603,62,
,604,77,
,605,80,
,606,96,
,607,61,
,608,4,
,609,55,
2066,610,39,2021-01-01
,611,1,
,612,56,
,613,82,
,614,51,
,615,34,
,616,17,
,617,61,
,618,79,
,619,58,
,620,90,
,621,6,
,622,43,
,623,65,
,624,65,
,625,42,
,626,59,
,627,81,
,628,57,
,629,26,
,630,36,
,631,93,
,632,22,
,633,3,
,634,80,
,635,66,
,636,51,
,637,83,
,638,86,
,639,39,
,640,29,
,641,89,
,642,72,
,643,55,
,644,55,
,645,85,
,646,61,
,647,37,
,648,26,
,649,11,
,650,74,
,651,17,
,652,45,
,653,72,
,654,91,
,655,38,
,656,20,
,657,20,
,658,8,
,659,3,
,660,27,
,661,5,
,662,50,
,663,71,
,664,5,
,665,96,
,666,51,
,667,60,
,668,11,
,669,32,
,670,17,
,671,34,
,672,49,
,673,20,
,674,53,
,675,92,
,676,11,
,677,15,
,678,82,
,679,95,
,680,77,
,681,77,
,682,28,
,683,75,
,684,83,
,685,50,
,686,61,
,687,17,
,688,5,
,689,99,
,690,30,
,691,29,
,692,83,
,693,18,
,694,70,
,695,84,
,696,40,
,697,94,
,698,72,
,699,17,
,700,86,
,701,9,
,702,26,
,703,100,
,704,91,
,705,89,
,706,67,
,707,36,
,708,41,
,709,9,
,710,2,
,711,53,
,712,40,
,713,41,
,714,96,
,715,71,
,716,30,
,717,92,
,718,51,
,719,28,
,720,22,
,721,5,
,722,86,
,723,23,
,724,54,
,725,69,
,726,79,
,727,31,
,728,27,
,729,69,
,730,26,
,731,42,
,732,47,
,733,34,
,734,66,
,735,17,
,736,76,
,737,44,
,738,18,
,739,76,
,740,56,
,741,32,
,742,96,
,743,59,
,744,28,
,745,91,
,746,30,
,747,78,
,748,94,
,749,77,
,750,13,
,751,81,
,752,81,
,753,51,
,754,96,
,755,92,
,756,61,
,757,6,
,758,100,
,759,83,
2021,760,60,2020-08-06
,761,67,
,762,8,
,763,56,
,764,13,
,765,61,
,766,53,
,767,76,
,768,49,
,769,45,
,770,6,
,771,32,
,772,74,
,773,17,
,774,70,
,775,1,
,776,54,
,777,82,
,778,47,
,779,47,
,780,5,
,781,29,
,782,72,
,783,51,
,784,78,
,785,60,
,786,20,
,787,78,
,788,100,
,789,47,
,790,44,
,791,10,
,792,18,
,793,89,
,794,1,
,795,71,
,796,78,
,797,20,
,798,69,
,799,67,
,800,99,
,801,54,
,802,55,
,803,39,
,804,73,
,805,42,
,806,33,
,807,71,
,808,12,
,809,92,
,810,29,
,811,73,
,812,98,
,813,52,
,814,27,
,815,84,
,816,28,
,817,99,
,818,72,
,819,10,
,820,22,
,821,27,
,822,21,
,823,24,
,824,28,
,825,100,
,826,84,
,827,63,
,828,43,
,829,61,
,830,74,
,831,63,
,832,22,
,833,92,
,834,32,
,835,47,
,836,15,
,837,87,
,838,37,
,839,14,
,840,53,
,841,48,
,842,84,
,843,86,
,844,62,
,845,24,
,846,13,
,847,29,
,848,97,
,849,85,
,850,73,
,851,32,
,852,14,
,853,2,
,854,96,
,855,2,
,856,87,
,857,7,
,858,34,
,859,92,
,860,79,
,861,73,
,862,27,
,863,71,
,864,58,
,865,47,
,866,51,
,867,56,
,868,41,
,869,95,
,870,52,
,871,29,
,872,85,
,873,62,
,874,31,
,875,49,
,876,90,
,877,17,
,878,20,
,879,23,
,880,99,
,881,9,
,882,90,
,883,7,
,884,38,
,885,36,
,886,83,
,887,57,
,888,7,
,889,55,
,890,77,
,891,93,
,892,19,
,893,47,
,894,60,
,895,5,
,896,39,
,897,98,
,898,78,
,899,26,
,900,93,
,901,1,
,902,33,
,903,63,
,904,93,
,905,9,
,906,78,
,907,96,
,908,80,
,909,50,
,910,12,
,911,58,
,912,40,
,913,66,
,914,52,
,915,97,
,916,15,
,917,32,
,918,73,
,919,49,
,920,42,
,921,28,
,922,80,
,923,50,
,924,94,
,925,65,
,926,72,
,927,21,
,928,58,
,929,54,
,930,41,
,931,97,
,932,51,
,933,1,
,934,8,
,935,69,
,936,78,
,937,34,
,938,53,
,939,14,
,940,2,
,941,56,
,942,71,
,943,7,
,944,74,
,945,13,
,946,22,
,947,90,
,948,15,
,949,12,
,950,9,
,951,11,
,952,87,
,953,96,
,954,25,
,955,96,
,956,47,
,957,62,
,958,18,
,959,4,
,960,1,
,961,96,
,962,100,
,963,28,
,964,86,
,965,62,
,966,57,
,967,78,
,968,7,
,969,3,
,970,64,
,971,9,
,972,66,
,973,24,
,974,19,
,975,75,
,976,28,
,977,80,
,978,26,
,979,80,
,980,13,
,981,61,
,982,20,
,983,70,
,984,41,
,985,31,
,986,56,
,987,62,
,988,87,
,989,55,
,990,28,
,991,33,
,992,63,
,993,83,
,994,87,
,995,13,
,996,25,
,997,62,
,998,67,
,999,61,
,1000,4,
